T(K),T/Tc,(T/Tc)^0.5,(T/Tc)^(-0.5),(T/Tc)^-1,(T/Tc)^(-1.5),(T/Tc)^(-2),()^-2.5,()^-3,()^-3.5,viscosity(micro-Pas),omega(2)=c11=11.3179*c0^0.5/c10,eps,lnT*,T*,omega*=c16=1.6122-0.77503*c14+0.23797*c14^2+0.0021203*c14^3-0.014676*c14^4+0.0018846*c14^5,sig,S,S/sig,predicted _omega=c20=c18*c18*c16
300.00,0.46361,0.68089,1.4687,2.1570,3.1679,4.6526,6.8331,10.036,14.739,9.7331,20.141,942.32,-1.1446,0.31836,2.7789,2.6921,2.7783,1.0320,21.451
325.00,0.50224,0.70869,1.4111,1.9911,2.8095,3.9643,5.5939,7.8933,11.138,10.596,19.256,885.54,-1.0024,0.36701,2.6093,2.7165,2.7927,1.0281,20.351
350.00,0.54088,0.73544,1.3597,1.8488,2.5139,3.4182,4.6478,6.3198,8.5932,11.481,18.443,838.28,-0.87342,0.41752,2.4598,2.7382,2.8055,1.0246,19.361
375.00,0.57951,0.76126,1.3136,1.7256,2.2668,2.9777,3.9115,5.1382,6.7496,12.389,17.691,798.37,-0.75564,0.46971,2.3276,2.7569,2.8170,1.0218,18.470
400.00,0.61815,0.78622,1.2719,1.6177,2.0576,2.6171,3.3287,4.2338,5.3849,13.320,16.994,764.25,-0.64742,0.52339,2.2104,2.7728,2.8272,1.0196,17.668
425.00,0.65678,0.81042,1.2339,1.5226,1.8788,2.3182,2.8605,3.5297,4.3554,14.274,16.346,734.76,-0.54745,0.57842,2.1061,2.7859,2.8365,1.0182,16.945
450.00,0.69541,0.83392,1.1992,1.4380,1.7244,2.0678,2.4797,2.9735,3.5657,15.249,15.744,709.03,-0.45465,0.63467,2.0129,2.7967,2.8450,1.0172,16.292
475.00,0.73405,0.85677,1.1672,1.3623,1.5901,1.8559,2.1661,2.5283,2.9510,16.244,15.186,686.40,-0.36814,0.69202,1.9294,2.8055,2.8527,1.0168,15.701
500.00,0.77268,0.87902,1.1376,1.2942,1.4723,1.6749,1.9054,2.1677,2.4660,17.254,14.668,666.35,-0.28720,0.75036,1.8543,2.8125,2.8597,1.0168,15.164
525.00,0.81132,0.90073,1.1102,1.2326,1.3684,1.5192,1.6866,1.8725,2.0789,18.278,14.188,648.46,-0.21120,0.80961,1.7865,2.8181,2.8662,1.0171,14.676
550.00,0.84995,0.92193,1.0847,1.1765,1.2762,1.3842,1.5015,1.6286,1.7665,19.314,13.743,632.41,-0.13962,0.86969,1.7250,2.8226,2.8722,1.0176,14.231
575.00,0.88859,0.94265,1.0608,1.1254,1.1939,1.2665,1.3435,1.4253,1.5120,20.357,13.331,617.93,-0.072008,0.93052,1.6692,2.8260,2.8778,1.0183,13.824
600.00,0.92722,0.96292,1.0385,1.0785,1.1200,1.1631,1.2079,1.2544,1.3028,21.407,12.950,604.81,-0.0079796,0.99205,1.6184,2.8288,2.8829,1.0191,13.451
625.00,0.96585,0.98278,1.0175,1.0354,1.0535,1.0720,1.0907,1.1099,1.1293,22.461,12.597,592.86,0.052799,1.0542,1.5719,2.8309,2.8877,1.0201,13.108
650.00,1.0045,1.0022,0.99776,0.99553,0.99331,0.99108,0.98887,0.98666,0.98445,23.516,12.271,581.93,0.11062,1.1170,1.5294,2.8325,2.8922,1.0211,12.793
675.00,1.0431,1.0213,0.97911,0.95866,0.93864,0.91903,0.89983,0.88104,0.86264,24.570,11.968,571.91,0.16574,1.1803,1.4903,2.8338,2.8964,1.0221,12.502
700.00,1.0818,1.0401,0.96147,0.92442,0.88880,0.85456,0.82163,0.78997,0.75953,25.623,11.687,562.68,0.21838,1.2441,1.4543,2.8348,2.9003,1.0231,12.233
725.00,1.1204,1.0585,0.94475,0.89255,0.84323,0.79664,0.75262,0.71104,0.67175,26.672,11.426,554.15,0.26874,1.3083,1.4211,2.8355,2.9040,1.0241,11.984
750.00,1.1590,1.0766,0.92887,0.86279,0.80142,0.74441,0.69146,0.64228,0.59659,27.716,11.183,546.25,0.31700,1.3730,1.3904,2.8361,2.9075,1.0252,11.753
775.00,1.1977,1.0944,0.91376,0.83496,0.76296,0.69716,0.63704,0.58210,0.53191,28.753,10.958,538.91,0.36332,1.4381,1.3619,2.8366,2.9108,1.0262,11.539
800.00,1.2363,1.1119,0.89937,0.80887,0.72748,0.65427,0.58843,0.52922,0.47597,29.784,10.748,532.07,0.40783,1.5035,1.3355,2.8369,2.9139,1.0271,11.339
850.00,1.3136,1.1461,0.87252,0.76129,0.66424,0.57956,0.50568,0.44121,0.38497,31.820,10.370,519.72,0.49194,1.6355,1.2880,2.8375,2.9196,1.0289,10.978
900.00,1.3908,1.1793,0.84794,0.71900,0.60966,0.51695,0.43834,0.37169,0.31517,33.818,10.040,508.87,0.57021,1.7686,1.2466,2.8380,2.9247,1.0306,10.663
950.00,1.4681,1.2117,0.82532,0.68115,0.56217,0.46397,0.38292,0.31604,0.26083,35.776,9.7508,499.25,0.64336,1.9029,1.2103,2.8384,2.9294,1.0321,10.386
1000.0,1.5454,1.2431,0.80442,0.64710,0.52054,0.41873,0.33684,0.27096,0.21797,37.691,9.4958,490.67,0.71198,2.0380,1.1784,2.8387,2.9336,1.0334,10.141
1100.0,1.6999,1.3038,0.76699,0.58827,0.45119,0.34606,0.26542,0.20358,0.15614,41.390,9.0691,476.03,0.83758,2.3108,1.1248,2.8395,2.9410,1.0357,9.7289
1200.0,1.8544,1.3618,0.73433,0.53925,0.39599,0.29079,0.21353,0.15681,0.11515,44.920,8.7280,464.00,0.95019,2.5862,1.0819,2.8402,2.9473,1.0377,9.3983
1300.0,2.0090,1.4174,0.70553,0.49777,0.35119,0.24777,0.17481,0.12333,0.087014,48.293,8.4499,453.94,1.0522,2.8638,1.0471,2.8407,2.9527,1.0394,9.1289
